o0000087	A	U+12000	a aya₂ duru₅
o0000655	|A.AN|	x12000.x1202D	am₃
o0000673	|A.GUD×KUR|	x12000.x12120	ildag₂
o0000685	|A.IGI|	x12000.x12146	er₂
o0000697	|A.LAGAB×HAL|	x12000.x121C9	id₂
o0000736	|A.ŠU.NAGA|	x12000.x122D7.x12240	tu₁₇
o0000723	|A.TU.GABA.LIŠ|	x12000.x12305.x120EE.x121FA	asal₂
o0000112	A₂	U+12009	a₂ ti₈
o0000088	AB	U+1200A	ab eš₃
o0000749	|AB×HA|	U+1200F	nanše niŋin₆
o0000089	AB@g	U+12015	gun₄
o0000090	AB₂	U+12016	ab₂
o0000763	|AB₂.ŠA₃|	x12016.x122AE	lipišₓ
o0000092	AD	U+1201C	ad
o0000093	AK	U+1201D	ak
o0000777	|AK×ERIN₂|	U+1201E	me₃
o0000094	AL	U+12020	al
o0000097	AMAR	U+1202B	amar
o0000795	|AMAR×ŠE|	U+1202C		o0000794	|AMAR×ŠE.AMAR×ŠE|
o0000794	|AMAR×ŠE.AMAR×ŠE|	x1202C.x1202C	sizkur₂
o0000642	|3×AN|	U+1202F	mul
o0000099	AN	U+1202D	an d diŋir
o0000812	|AN.IM.MI|	x1202D.x1214E.x1222A	anzud₂
o0000820	|AN.NA|	x1202D.x1223E	nagga
o0000101	ANŠE	U+12032	anše
o0000831	|ANŠE.ARAD|	x12032.x12034	dur₃
o0000102	APIN	U+12033	absin₃ engar
o0000103	ARAD	U+12034	nitah₂
o0000843	|ARAD×KUR|	U+12035	arad₂
o0000106	AŠ	U+12038	aš dili
o0223363	AŠ@t			o0021192	|E₂×AŠ@t|
o0000110	AŠ₂	U+1203E	aš₂
o0000873	|AŠ₂.GAR₃|	x1203E.x120FC	ešgar
o0000113	BA	U+12040	ba be₄
o0000114	BAD	U+12041	ba₉ bad
o0000118	BAL	U+12044	bal bala
o0000119	BALAG	U+12046	balaŋ
o0000120	BAR	U+12047	bar
o0000121	BARA₂	U+12048	barag
o0000122	BI	U+12049	be₂ bi biz kaš
o0000124	BU	U+1204D	bu gid₂ sir₂
o0000129	BUR	U+12053	bur
o0000131	BUR₂	U+12054	bur₂ ušum
o0000130	BURU₅	U+12245	buru₅
o0000132	DA	U+12055	da
